query,domain,url1,url2,url3,cc-sa
https://www.google.co.in/search?hl=en&as_q=http%3A%2F%2Fantoine.frostburg.edu%2Fchem%2Fsenese%2F101%2Fmeasurement%2Findex.shtml&as_epq=&as_oq=&as_eq=&as_nlo=&as_nhi=&lr=&cr=&as_qdr=all&as_sitesearch=&as_occt=any&safe=images&tbs=&as_filetype=&as_rights=%28cc_publicdomain%7Ccc_attribute%7Ccc_sharealike%29.-%28cc_noncommercial%7Ccc_nonderived%29,antoine.frostburg.edu,https://fnoschese.wordpress.com/physics-applets-animations/,https://swearingenscience.wikispaces.com/Chemistry,crazy11.wikispaces.com/chemistry,false
https://www.google.co.in/search?hl=en&as_q=http%3A%2F%2Flectureonline.cl.msu.edu%2F~mmp%2Fapplist%2Fsigfig%2Fsig.htm&as_epq=&as_oq=&as_eq=&as_nlo=&as_nhi=&lr=&cr=&as_qdr=all&as_sitesearch=&as_occt=any&safe=images&tbs=&as_filetype=&as_rights=%28cc_publicdomain%7Ccc_attribute%7Ccc_sharealike%29.-%28cc_noncommercial%7Ccc_nonderived%29,lectureonline.cl.msu.edu,www.wealthfront.com/,https://fnoschese.wordpress.com/physics-applets-animations/,chemteacher.chemeddl.org/.../index.php?limit...,false
https://www.google.co.in/search?hl=en&as_q=http%3A%2F%2Fwww.colorado.edu%2Fphysics%2Fphet%2Fsimulations%2Fmassspringlab%2FMassSpringLab2.swf&as_epq=&as_oq=&as_eq=&as_nlo=&as_nhi=&lr=&cr=&as_qdr=all&as_sitesearch=&as_occt=any&safe=images&tbs=&as_filetype=&as_rights=%28cc_publicdomain%7Ccc_attribute%7Ccc_sharealike%29.-%28cc_noncommercial%7Ccc_nonderived%29,www.colorado.edu,https://fnoschese.wordpress.com/physics-applets-animations/,southern-elearning-group.wikispaces.com/Science,onlinelibrary.wiley.com/,false
https://www.google.co.in/search?hl=en&as_q=http%3A%2F%2Fcanu.ucalgary.ca%2Fmap%2Fcontent%2Ftime%2Fbasic%2Fsimulate2%2Fapplet.html&as_epq=&as_oq=&as_eq=&as_nlo=&as_nhi=&lr=&cr=&as_qdr=all&as_sitesearch=&as_occt=any&safe=images&tbs=&as_filetype=&as_rights=%28cc_publicdomain%7Ccc_attribute%7Ccc_sharealike%29.-%28cc_noncommercial%7Ccc_nonderived%29,canu.ucalgary.ca,https://fnoschese.wordpress.com/physics-applets-animations/,www.mapcite.com/excel-addin.aspx,,false
